Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh),Total Energy Cost (USD),Per Capita Energy Cost (USD),Carbon Intensity (kg CO₂/kWh),Renewable Energy Consumption (TWh),Fossil Fuel Energy Consumption (TWh),Industrial Energy Consumption (TWh),Household Energy Consumption (TWh),Industrial Energy Cost (USD),Household Energy Cost (USD),Region
Russia,2012,2038.26,15167.45,80.03,25.16,33.43,13.25,2806.6,0.43,876451800000.0,6522.0035,0.001376958778566032,1631.219478,512.8262159999999,681.390318,270.06945,292997836740.0,116129863500.00002,Asia
USA,2011,8149.21,34236.93,15.33,48.39,49.94,20.9,2711.22,0.11,896413100000.0,3766.0623,0.0003326972798590293,1249.273893,3943.4027189999997,4069.7154739999996,1703.18489,447668702139.99994,187350337900.0,
UK,2009,8463.58,35341.74,19.38,49.05,37.3,39.28,3177.98,0.41,3470067800000.0,14490.113399999998,0.00037548885932430485,1640.2418039999998,4151.38599,3156.91534,3324.494224,1294335289400.0,1363042631840.0,Europe
UK,2002,2660.33,28344.32,45.61,52.44,46.42,26.43,4835.18,0.44,1170545200000.0,12471.5008,0.0018175113613724612,1213.376513,1395.0770519999999,1234.925186,703.1252189999999,543367081840.0,309375096359.99994,Europe
Russia,2003,3323.88,30229.62,85.35,50.87,58.8,26.82,1651.26,0.13,432104400000.0,3929.8506,0.0004967868876132712,2836.93158,1690.8577559999999,1954.44144,891.4646160000001,254077387200.0,115890400080.00002,Asia
Germany,2000,2438.84,28935.5,33.01,44.67,29.86,38.62,1829.88,0.27,658486800000.0,7812.585000000001,0.0007503075232487576,805.0610839999999,1089.429828,728.2376240000001,941.880008,196624158480.00006,254307602160.00003,Europe
Germany,2012,9092.99,4552.29,60.95,66.15,51.8,36.59,1718.35,0.45,4091845500000.0,2048.5305,0.00018897524356674758,5542.177404999999,6015.012885,4710.16882,3327.1250410000002,2119575969000.0,1497206268450.0,Europe
Germany,2023,5076.23,33678.13,55.04,75.37,43.61,27.06,3161.72,0.48,2436590400000.0,16165.502399999998,0.0006228480585001074,2793.956992,3825.954551,2213.7439029999996,1373.6278379999997,1062597073439.9998,659341362239.9999,Europe
Australia,2003,6595.76,23753.86,17.72,28.88,58.0,18.07,3040.14,0.42,2770219200000.0,9976.6212,0.00046092338108117943,1168.768672,1904.855488,3825.5408,1191.853832,1606727136000.0,500578609440.0,Australia/Oceania
Canada,2021,4213.27,22203.64,26.09,19.11,25.38,13.51,2667.59,0.47,1980236900000.0,10435.710799999999,0.0006331400551115878,1099.2421430000002,805.1558970000001,1069.327926,569.2127770000001,502584125219.99994,267530005190.00003,North America
Australia,2010,6347.04,43069.96,84.06,39.76,48.79,35.91,1853.41,0.47,2983108800000.0,20242.8812,0.0002920117093952457,5335.321824000001,2523.583104,3096.7208159999996,2279.2220639999996,1455458783519.9998,1071234370079.9998,Australia/Oceania
USA,2018,3919.97,1649.72,20.71,11.85,21.49,37.6,2166.87,0.49,1920785300000.0,808.3628,0.0005527771896213492,811.825787,464.516445,842.4015529999998,1473.9087200000001,412776760969.9999,722215272800.0001,
Russia,2010,3462.82,12940.09,64.08,71.83,29.86,24.83,3972.91,0.24,831076800000.0,3105.6216,0.001147304797823739,2218.975056,2487.3436060000004,1033.998052,859.8182059999999,248159532479.99997,206356369439.99997,Asia
UK,2011,6381.35,6509.47,87.0,26.78,32.83,12.84,3065.77,0.18,1148643000000.0,1171.7046,0.00048042655550941413,5551.7745,1708.9255300000002,2094.997205,819.36534,377099496900.0,147485761200.0,Europe
Canada,2010,5951.51,2249.38,15.16,48.45,37.29,28.19,3595.72,0.33,1963998300000.0,742.2954000000001,0.0006041693620610568,902.248916,2883.5065950000003,2219.318079,1677.730669,732374966070.0,553651120770.0,North America
Australia,2005,3005.93,14146.01,38.93,18.06,58.61,21.02,1419.81,0.13,390770900000.0,1838.9813000000001,0.00047233634848449567,1170.208549,542.870958,1761.775573,631.8464859999999,229030824490.0,82140043179.99998,Australia/Oceania
Australia,2011,1578.55,49429.58,24.03,48.73,22.7,14.74,4561.89,0.3,473565000000.0,14828.874,0.0028899242976148996,379.325565,769.2274149999998,358.33085,232.67827,107499255000.0,69803481000.0,Australia/Oceania
Brazil,2008,3748.91,13876.34,23.83,12.73,26.76,37.57,224.06,0.31,1162162100000.0,4301.6654,5.976670552240518e-05,893.3652529999999,477.23624300000006,1003.2083160000001,1408.465487,310994577960.00006,436624300970.0,South America
Australia,2024,4210.46,33353.44,15.11,63.82,28.12,17.18,2998.7,0.41,1726288600000.0,13674.9104,0.0007122024671888582,636.2005059999999,2687.1155719999997,1183.981352,723.357028,485432354320.0,296576381480.0,Australia/Oceania
Japan,2009,6323.97,6355.8,60.21,76.88,36.96,31.33,4071.13,0.21,1328033700000.0,1334.718,0.0006437617509254471,3807.662337,4861.868136,2337.339312,1981.299801,490841255520.0,416072958210.0,Asia
UK,2002,9153.83,30291.46,68.44,31.49,22.43,22.88,4338.11,0.32,2929225600000.0,9693.2672,0.00047391201278590493,6264.881252,2882.541067,2053.204069,2094.396304,657025302080.0,670206817279.9999,Europe
Japan,2002,458.23,49231.83,62.53,28.08,58.62,34.84,1631.78,0.46,210785800000.0,22646.6418,0.0035610501276651463,286.531219,128.67098399999998,268.614426,159.64733200000003,123562635959.99998,73437772720.00002,Asia
UK,2019,2512.24,14945.96,83.6,41.36,42.39,31.03,2325.77,0.24,602937600000.0,3587.0303999999996,0.0009257754036238576,2100.2326399999997,1039.0624639999999,1064.9385359999999,779.5480719999999,255585248639.99997,187091537279.99997,Europe
Russia,2022,2017.79,42479.74,17.38,53.4,52.53,13.69,222.7,0.31,625514900000.0,13168.7194,0.00011036827420098226,350.69190199999997,1077.49986,1059.945087,276.235451,328582976970.0,85632989810.0,Asia
UK,2015,5072.71,49879.78,32.19,23.23,50.9,23.49,3959.34,0.4,2029084000000.0,19951.912,0.000780517711440236,1632.905349,1178.390533,2582.0093899999997,1191.579579,1032803755999.9999,476631831600.0,Europe
Japan,2002,4354.04,29633.43,34.29,66.23,46.43,17.79,666.63,0.16,696646400000.0,4741.3488,0.00015310608078933588,1493.0003159999999,2883.6806920000004,2021.580772,774.583716,323452923520.0,123933394560.0,Asia
UK,2009,7317.47,15815.35,24.73,23.9,56.18,31.41,2169.0,0.1,731747000000.0,1581.535,0.0002964139244848288,1809.610331,1748.8753299999998,4110.954646,2298.417327,411095464600.0,229841732700.0,Europe
Russia,2023,2499.92,33839.8,17.09,10.38,56.1,26.34,4954.5,0.36,899971200000.0,12182.328000000001,0.001981863419629428,427.236328,259.491696,1402.45512,658.478928,504883843200.0,237052414080.0,Asia
Russia,2010,5985.53,42319.99,46.37,46.7,25.11,20.21,4592.8,0.22,1316816600000.0,9310.397799999999,0.00076731717993227,2775.4902609999995,2795.24251,1502.966583,1209.675613,330652648260.0,266128634860.0,Asia
USA,2007,8850.19,8981.84,75.93,18.06,56.08,19.88,1683.62,0.22,1947041800000.0,1976.0048,0.0001902354638713971,6719.949267000001,1598.344314,4963.186552,1759.417772,1091901041440.0,387071909840.0,
UK,2005,9115.71,22899.53,86.14,58.88,40.96,13.43,1158.21,0.47,4284383700000.0,10762.7791,0.00012705647722448387,7852.272594,5367.330048,3733.794816,1224.2398529999998,1754883563520.0,575392730909.9999,Europe
Brazil,2019,9591.97,16299.79,15.99,21.72,30.72,16.41,1295.88,0.23,2206153100000.0,3748.9517000000005,0.00013510050594403445,1533.756003,2083.3758839999996,2946.653184,1574.0422769999998,677730232320.0,362029723709.99994,South America
Germany,2010,7755.29,14526.27,74.97,67.22,44.34,31.4,3439.69,0.48,3722539200000.0,6972.6096,0.00044352822396067715,5814.140912999999,5213.105938,3438.6955860000003,2435.16106,1650573881280.0002,1168877308800.0,Europe
China,2020,9069.28,43110.65,75.09,42.93,31.24,28.3,3642.7,0.1,906928000000.0,4311.0650000000005,0.00040165261189421873,6810.122352000001,3893.4419040000002,2833.2430719999998,2566.60624,283324307200.0,256660624000.0,Asia
Russia,2011,2421.86,21371.87,38.06,49.64,39.16,20.67,1121.64,0.2,484372000000.0,4274.374,0.00046313164262178655,921.7599160000001,1202.2113040000002,948.4003759999999,500.5984620000001,189680075200.0,100119692400.00003,Asia
India,2015,2056.05,17284.28,14.35,23.06,52.66,35.08,1237.95,0.36,740178000000.0,6222.340799999999,0.0006021011162179907,295.043175,474.12513,1082.71593,721.26234,389777734800.0,259654442400.0,Asia
Germany,2017,164.23,30373.77,89.15,20.27,21.29,24.53,1650.78,0.11,18065300000.0,3341.1147,0.010051634902271204,146.411045,33.289421,34.964566999999995,40.285619000000004,3846102369.999999,4431418090.000001,Europe
Canada,2012,7097.76,11360.38,60.73,54.19,27.32,33.83,2194.23,0.22,1561507200000.0,2499.2835999999998,0.0003091440116318388,4310.469648,3846.2761440000004,1939.1080319999999,2401.172208,426603767039.99994,528257885760.0,North America
UK,2021,9380.93,11879.73,88.49,27.88,58.26,33.44,4591.48,0.43,4033799900000.0,5108.283899999999,0.000489448274318218,8301.184957,2615.403284,5465.329817999999,3136.982992,2350091821739.9995,1348902686560.0,Europe
Japan,2002,1950.66,26254.29,46.11,37.01,37.8,35.44,181.21,0.39,760757400000.0,10239.1731,9.289676314683235e-05,899.449326,721.9392660000001,737.3494800000001,691.3139040000001,287566297200.00006,269612422560.00006,Asia
China,2014,6405.74,20759.0,38.59,43.56,32.13,35.49,3209.08,0.18,1153033200000.0,3736.62,0.0005009694430307817,2471.9750660000004,2790.340344,2058.1642620000002,2273.397126,370469567160.0,409211482680.0,Asia
India,2021,7489.95,15101.63,26.01,26.07,56.93,30.37,4315.4,0.21,1572889500000.0,3171.3423,0.0005761587193505965,1948.135995,1952.629965,4264.0285349999995,2274.697815,895445992349.9999,477686541150.0,Asia
Germany,2020,9283.38,3170.58,88.6,65.68,56.45,32.48,3630.65,0.28,2599346400000.0005,887.7624000000001,0.0003910913912820546,8225.074679999998,6097.323984000001,5240.46801,3015.2418239999993,1467331042800.0002,844267710720.0,Europe
UK,2013,6503.92,26278.32,26.53,75.76,21.77,33.31,1122.87,0.38,2471489600000.0,9985.7616,0.00017264511248600843,1725.489976,4927.369792,1415.9033840000002,2166.4557520000003,538043285920.0001,823253185760.0001,Europe
USA,2017,9705.91,40922.16,7.02,40.23,34.5,15.07,2409.9,0.12,1164709200000.0,4910.6592,0.00024829202001667023,681.354882,3904.6875929999997,3348.53895,1462.680637,401824674000.0,175521676440.0,
Canada,2013,3512.26,42643.17,48.56,74.23,56.51,19.01,4555.89,0.29,1018555399999.9999,12366.519299999998,0.0012971391639571101,1705.5534560000003,2607.150598,1984.7781260000002,667.6806260000001,575585656540.0,193627381540.00003,North America
China,2004,3564.29,12154.28,37.05,71.79,27.19,13.13,622.8,0.08,285143200000.0,972.3424000000001,0.0001747332568337593,1320.5694449999999,2558.8037910000003,969.130451,467.991277,77530436080.0,37439302160.0,Asia
Brazil,2020,5475.82,30182.24,27.22,21.62,43.13,15.68,4938.18,0.23,1259438600000.0,6941.9152,0.0009018156184827113,1490.518204,1183.872284,2361.7211660000003,858.6085759999999,543195868180.0001,197479972479.99997,South America
USA,2013,3896.67,42866.12,58.94,22.14,32.83,33.35,760.94,0.14,545533800000.00006,6001.256800000001,0.00019527955921337962,2296.697298,862.722738,1279.276761,1299.5394450000001,179098746540.00003,181935522300.00003,
India,2024,114.11,20731.93,35.96,43.42,49.46,38.41,754.97,0.19,21680900000.0,3939.0667000000003,0.006616159845762861,41.033955999999996,49.546562,56.43880600000001,43.82965099999999,10723373140.000002,8327633689.999999,Asia
China,2007,7344.54,46640.77,39.19,46.81,26.33,30.21,4073.65,0.2,1468908000000.0,9328.154,0.0005546501210422981,2878.3252259999995,3437.9791740000005,1933.817382,2218.785534,386763476400.0,443757106800.0,Asia
USA,2022,7542.0,45197.44,6.96,33.88,43.84,36.58,4150.32,0.4,3016800000000.0,18078.976000000002,0.0005502943516308671,524.9232,2555.2296,3306.4128,2758.8635999999997,1322565120000.0,1103545439999.9998,
Canada,2014,7495.05,10802.63,55.07,31.9,20.0,19.54,237.7,0.17,1274158500000.0,1836.4471,3.171426474806706e-05,4127.524035,2390.92095,1499.01,1464.53277,254831700000.00003,248970570900.00003,North America
Brazil,2014,3515.7,13318.76,15.38,40.2,30.1,35.37,883.11,0.35,1230495000000.0,4661.566,0.00025119037460534174,540.71466,1413.3114,1058.2257,1243.5030899999997,370378995000.0,435226081499.9999,South America
USA,2018,5270.67,9431.88,23.17,58.33,26.49,20.16,4745.21,0.29,1528494300000.0,2735.2451999999994,0.0009003048948236183,1221.2142390000001,3074.3818109999997,1396.2004829999998,1062.567072,404898140069.9999,308144450880.0,
Australia,2019,3663.74,10204.69,65.96,15.91,28.39,36.83,1432.76,0.41,1502133400000.0,4183.9229,0.0003910648681402065,2416.602904,582.901034,1040.1357859999998,1349.3554419999998,426455672259.99994,553235731219.9999,Australia/Oceania
Brazil,2005,258.76,45439.17,31.63,59.74,54.42,33.94,110.59,0.19,49164400000.0,8633.4423,0.00042738444891018707,81.845788,154.583224,140.817192,87.823144,26755266480.0,16686397360.0,South America
India,2018,5668.24,46591.33,18.87,74.84,56.59,39.51,1307.51,0.5,2834120000000.0,23295.665,0.00023067301313988117,1069.596888,4242.110815999999,3207.657016,2239.5216239999995,1603828508000.0,1119760811999.9998,Asia
Canada,2024,1325.23,3068.91,54.08,63.45,50.2,34.82,3690.39,0.18,238541400000.0,552.4037999999999,0.0027847166152290548,716.684384,840.858435,665.2654600000001,461.445086,119747782800.00002,83060115480.0,North America
UK,2007,892.41,29883.37,23.27,23.42,43.6,21.95,4586.44,0.31,276647100000.0,9263.8447,0.00513938660481169,207.663807,209.002422,389.09076,195.883995,120618135600.0,60724038450.0,Europe
Japan,2005,7579.44,28429.46,28.03,16.12,29.23,13.3,818.03,0.33,2501215200000.0,9381.7218,0.00010792749860147979,2124.5170319999997,1221.805728,2215.470312,1008.06552,731105202960.0,332661621600.0,Asia
Japan,2019,194.11,19832.11,57.81,44.33,30.99,36.23,1160.85,0.29,56291899999.99999,5751.3119,0.005980371954046675,112.21499100000001,86.048963,60.154689,70.326053,17444859810.0,20394555370.0,Asia
Japan,2022,9594.18,31769.03,67.89,76.95,32.4,27.14,2235.58,0.44,4221439200000.0,13978.3732,0.00023301418151420964,6513.488802,7382.72151,3108.5143199999998,2603.8604520000004,1367746300800.0,1145698598880.0002,Asia
China,2014,5201.03,47394.71,67.87,67.33,51.08,35.74,3754.1,0.1,520103000000.0,4739.4710000000005,0.0007217993359007735,3529.939061,3501.853499,2656.686124,1858.848122,265668612400.0,185884812200.0,Asia
India,2002,9831.86,8927.62,45.99,49.39,30.12,21.61,3310.55,0.32,3146195200000.0,2856.8384,0.00033671655210712925,4521.672414000001,4855.955654,2961.356232,2124.664946,947633994240.0,679892782719.9999,Asia
Canada,2009,674.18,6460.34,43.62,20.01,58.94,10.87,1671.29,0.28,188770400000.00003,1808.8952000000002,0.0024789967071108606,294.07731599999994,134.903418,397.36169199999995,73.28336599999999,111261273760.0,20519342479.999996,North America
Brazil,2014,5876.94,2152.83,71.95,59.97,51.86,11.57,378.44,0.24,1410465600000.0,516.6791999999999,6.439405540978809e-05,4228.4583299999995,3524.400918,3047.7810839999997,679.961958,731467460159.9999,163190869920.0,South America
China,2023,3558.34,18509.75,21.41,66.91,59.99,30.11,1302.16,0.21,747251400000.0,3887.0474999999997,0.0003659459186024944,761.840594,2380.885294,2134.6481660000004,1071.416174,448276114860.00006,224997396540.0,Asia
India,2015,8450.48,17212.61,17.94,75.45,38.37,13.43,1136.84,0.12,1014057600000.0,2065.5132,0.0001345296361863468,1516.0161120000002,6375.88716,3242.449176,1134.8994639999999,389093901120.0,136187935679.99997,Asia
UK,2016,3676.11,21825.57,61.5,52.85,43.57,32.36,154.22,0.34,1249877400000.0,7420.6938,4.1951954647711846e-05,2260.80765,1942.8241350000003,1601.681127,1189.5891960000001,544571583180.00006,404460326640.0001,Europe
Australia,2018,2678.83,25413.85,39.81,46.01,31.22,22.58,4876.45,0.1,267883000000.0,2541.385,0.0018203656073733682,1066.442223,1232.529683,836.330726,604.879814,83633072600.0,60487981400.0,Australia/Oceania
Canada,2010,8589.78,38012.29,65.35,53.34,44.15,26.89,1314.09,0.42,3607707600000.0005,15965.1618,0.00015298296347519957,5613.42123,4581.788652,3792.38787,2309.791842,1592802905400.0,970112573640.0,North America
Japan,2015,3809.07,19909.61,26.81,76.03,58.96,34.04,4190.85,0.25,952267500000.0,4977.4025,0.0011002291898022352,1021.211667,2896.035921,2245.827672,1296.607428,561456918000.0,324151857000.0,Asia
USA,2004,266.65,16865.35,32.61,53.97,21.22,17.59,2450.06,0.32,85327999999.99998,5396.911999999999,0.009188299268704295,86.95456499999999,143.911005,56.58312999999999,46.903735,18106601599.999996,15009195200.0,
Canada,2004,3963.86,41430.5,81.22,28.03,31.57,22.39,4862.84,0.09,356747400000.0,3728.745,0.0012267940845539448,3219.447092,1111.069958,1251.3906020000002,887.508254,112625154180.00002,79875742860.0,North America
Russia,2013,6579.77,42564.94,40.84,54.53,31.25,31.89,790.29,0.09,592179300000.0,3830.8446,0.00012010906156294217,2687.178068,3587.948581,2056.178125,2098.288653,185056031250.0,188845978770.0,Asia
India,2017,2618.16,12021.92,55.23,71.58,59.29,37.55,597.83,0.16,418905600000.0,1923.5072,0.00022833975005347266,1446.0097679999997,1874.0789279999997,1552.3070639999999,983.1190799999998,248369130239.99997,157299052799.99997,Asia
Germany,2007,4376.68,16076.26,14.07,49.69,25.31,18.71,62.19,0.4,1750672000000.0002,6430.504000000001,1.4209400732975678e-05,615.7988760000001,2174.772292,1107.7377079999999,818.876828,443095083200.0,327550731200.0,Europe
UK,2004,661.48,41343.26,20.2,45.19,52.49,28.68,3606.31,0.27,178599600000.0,11162.6802,0.005451880631311605,133.61896000000002,298.92281199999996,347.210852,189.712464,93746930040.0,51222365280.0,Europe
Australia,2006,5922.12,4430.71,8.05,61.34,30.98,38.54,1566.56,0.19,1125202800000.0,841.8349000000001,0.0002645268923966417,476.73066000000006,3632.628408,1834.672776,2282.385048,348587827440.0,433653159120.0,Australia/Oceania
UK,2015,7587.32,16629.42,41.07,56.27,54.42,29.47,4358.26,0.43,3262547600000.0,7150.650599999999,0.0005744136269460099,3116.1123239999997,4269.384964,4129.019544,2235.983204,1775478403920.0,961472777720.0,Europe
Canada,2022,4191.79,22693.33,89.06,13.97,39.51,36.78,3187.33,0.14,586850600000.0,3177.0662000000007,0.0007603744462389575,3733.208174,585.593063,1656.176229,1541.740362,231864672060.00003,215843650680.00003,North America
Germany,2013,4260.3,9760.04,79.28,60.77,29.69,38.19,2908.29,0.17,724251000000.0,1659.2068000000002,0.0006826491092176608,3377.56584,2588.9843100000003,1264.88307,1627.00857,215030121900.00003,276591456900.0,Europe
Russia,2004,974.0,9405.75,58.8,38.53,48.39,37.88,2460.11,0.4,389600000000.0,3762.3,0.0025257802874743326,572.712,375.2822,471.3186,368.95120000000003,188527440000.0,147580480000.0,Asia
Brazil,2023,2099.21,21530.67,78.19,75.86,53.66,32.75,1327.96,0.06,125952600000.0,1291.8401999999999,0.0006325998828130583,1641.372299,1592.460706,1126.436086,687.491275,67586165160.0,41249476500.0,South America
USA,2008,1631.29,37848.83,55.5,77.96,38.81,26.56,370.21,0.15,244693500000.0,5677.3245,0.00022694309411569984,905.36595,1271.753684,633.103649,433.27062399999994,94965547350.0,64990593599.999985,
Germany,2003,4868.71,42091.53,36.35,41.41,48.56,12.9,2245.66,0.28,1363238800000.0002,11785.628400000001,0.0004612433272879264,1769.776085,2016.132811,2364.245576,628.0635900000001,661988761280.0001,175857805200.00006,Europe
India,2003,5339.63,48972.14,19.75,77.82,27.26,16.68,540.64,0.46,2456229800000.0,22527.184400000002,0.00010125046117427612,1054.576925,4155.300066,1455.583138,890.6502839999999,669568243480.0,409699130640.0,Asia
Japan,2015,9494.51,4162.21,60.51,31.76,57.5,17.67,4533.37,0.17,1614066700000.0,707.5757000000001,0.00047747277110667114,5745.128001,3015.456376,5459.343250000001,1677.6799170000002,928088352500.0002,285205585890.00006,Asia
Russia,2023,824.99,11225.77,21.41,57.79,23.86,11.0,4155.18,0.15,123748500000.0,1683.8655,0.005036642868398405,176.630359,476.761721,196.842614,90.74889999999999,29526392100.0,13612334999.999998,Asia
USA,2016,6038.69,37953.18,40.48,15.25,28.88,13.06,3117.82,0.49,2958958100000.0,18597.0582,0.0005163073448049163,2444.4617119999994,920.9002249999999,1743.9736719999999,788.652914,854547099279.9999,386439927860.0,
Australia,2014,5312.34,27259.64,75.19,20.15,31.53,18.84,2289.58,0.29,1540578600000.0,7905.2955999999995,0.000430992745193267,3994.348446,1070.43651,1674.980802,1000.844856,485744432579.99994,290245008240.0,Australia/Oceania
Japan,2003,5210.71,16720.15,15.98,70.52,26.11,12.72,2298.27,0.08,416856800000.0,1337.612,0.00044106657250163605,832.671458,3674.5926919999997,1360.5163810000001,662.8023120000001,108841310480.00002,53024184960.00001,Asia
Canada,2005,8744.28,10676.69,15.97,72.56,36.27,15.09,2349.35,0.17,1486527600000.0002,1815.0373000000002,0.00026867277809036305,1396.461516,6344.8495680000005,3171.5503560000006,1319.511852,539163560520.0001,224317014840.00003,North America
Germany,2015,2134.83,14383.64,24.07,47.28,38.31,11.63,3740.04,0.29,619100700000.0,4171.2555999999995,0.0017519146723626706,513.853581,1009.3476239999999,817.853373,248.28072899999998,237177478169.99997,72001411409.99998,Europe
USA,2003,503.66,21749.8,51.91,33.78,40.74,22.5,674.72,0.08,40292800000.0,1739.984,0.0013396338799984116,261.449906,170.136348,205.19108400000002,113.32350000000001,16415286720.000002,9065880000.000002,
China,2005,6755.49,9268.99,26.4,41.57,21.63,34.64,2679.91,0.36,2431976400000.0,3336.8363999999997,0.0003967010535135127,1783.4493599999998,2808.257193,1461.212487,2340.101736,526036495320.0,842436624960.0,Asia
Brazil,2004,3517.06,48229.18,47.77,70.87,28.76,34.37,4072.7,0.29,1019947399999.9999,13986.4622,0.0011579842254610384,1680.099562,2492.540422,1011.5064560000001,1208.813522,293336872240.0,350555921380.0,South America
Brazil,2015,274.14,5825.63,30.67,24.77,52.31,37.15,2575.12,0.37,101431800000.0,2155.4831,0.009393448602903627,84.07873799999999,67.904478,143.402634,101.84300999999999,53058974580.0,37681913700.0,South America
Russia,2024,2588.6,49286.08,48.03,30.64,52.42,32.37,118.02,0.2,517720000000.0,9857.216,4.559221200648999e-05,1243.30458,793.14704,1356.94412,837.9298199999998,271388824000.0,167585964000.0,Asia
Australia,2015,3162.34,42173.72,28.6,64.98,33.2,17.33,1261.22,0.24,758961600000.0,10121.6928,0.0003988249207865062,904.4292400000002,2054.888532,1049.89688,548.033522,251975251200.0,131528045279.99998,Australia/Oceania
Russia,2009,6206.7,21446.01,88.3,75.47,38.45,31.07,3359.49,0.47,2917149000000.0,10079.624699999998,0.0005412683068297163,5480.5161,4684.196489999999,2386.4761500000004,1928.42169,1121643790500.0002,906358194300.0,Asia
China,2008,1808.6,37120.91,46.88,16.5,27.34,32.61,4674.29,0.14,253204000000.00003,5196.927400000001,0.002584479708061484,847.8716800000001,298.419,494.47123999999997,589.78446,69225973600.0,82569824400.00002,Asia
India,2003,4189.24,33740.0,68.21,66.26,52.89,26.29,4474.05,0.07,293246800000.0,2361.8,0.0010679860786204658,2857.4806039999994,2775.7904240000003,2215.6890359999998,1101.3511959999998,155098232520.0,77094583719.99998,Asia
Australia,2013,4876.51,11057.7,64.55,55.15,58.27,34.21,4122.39,0.49,2389489900000.0,5418.273,0.0008453566177450678,3147.787205,2689.3952649999997,2841.5423770000007,1668.254071,1392355764730.0002,817444494790.0,Australia/Oceania
UK,2003,4646.45,17283.97,46.7,26.15,31.65,12.14,4753.31,0.05,232322500000.0,864.1985000000001,0.001022998202929118,2169.89215,1215.0466749999998,1470.6014249999998,564.07903,73530071249.99998,28203951500.0,Europe
India,2011,9742.01,25899.57,25.3,62.91,51.28,27.84,1435.59,0.45,4383904500000.0,11654.8065,0.00014736076025378747,2464.72853,6128.698491,4995.702728,2712.1755839999996,2248066227600.0,1220479012799.9998,Asia
Australia,2023,550.49,32073.29,48.41,60.95,34.1,24.4,111.37,0.42,231205800000.0,13470.7818,0.00020231066867699686,266.492209,335.523655,187.71709,134.31956,78841177800.0,56414215200.0,Australia/Oceania
Australia,2009,9514.59,27373.3,62.88,19.94,20.11,34.16,1804.15,0.27,2568939300000.0,7390.791,0.00018961931097398837,5982.774192,1897.2092460000003,1913.384049,3250.183944,516613693230.00006,877549664880.0,Australia/Oceania
China,2003,5861.18,23912.88,44.09,45.16,43.99,13.84,2906.2,0.37,2168636600000.0,8847.7656,0.000495838721895591,2584.1942620000004,2646.908888,2578.333082,811.1873120000001,953983240340.0,300139305440.00006,Asia
Canada,2017,7977.7,22436.04,11.96,63.08,36.42,16.38,1616.51,0.1,797770000000.0,2243.6040000000003,0.00020262857715883025,954.13292,5032.33316,2905.47834,1306.7472599999999,290547834000.0,130674725999.99998,North America
China,2012,4360.89,25164.09,6.53,23.41,50.34,26.76,268.81,0.39,1700747100000.0002,9813.9951,6.164108702581353e-05,284.76611700000007,1020.884349,2195.272026,1166.9741640000002,856156090140.0,455119923960.0001,Asia
Australia,2012,4593.0,22000.4,32.87,42.39,49.95,38.42,2560.58,0.4,1837200000000.0,8800.160000000002,0.0005574961898541258,1509.7190999999998,1946.9726999999998,2294.2035,1764.6306,917681400000.0,705852240000.0,Australia/Oceania
USA,2013,8805.33,27295.84,17.77,18.45,57.84,12.5,1038.5,0.07,616373100000.0,1910.7088,0.00011793992956538824,1564.7071409999999,1624.583385,5093.002872,1100.66625,356510201040.00006,77046637500.0,
India,2017,8969.75,44455.27,82.03,31.48,37.51,32.3,3651.48,0.27,2421832500000.0,12002.9229,0.0004070882689038156,7357.8859250000005,2823.6773,3364.553225,2897.22925,908429370750.0,782251897500.0,Asia
China,2000,2463.02,31825.05,19.95,25.26,39.3,16.16,491.55,0.48,1182249600000.0,15276.024,0.00019957207006033245,491.37248999999997,622.158852,967.9668599999999,398.02403200000003,464624092799.99994,191051535360.00003,Asia
Canada,2020,2072.49,36269.73,38.51,45.35,36.02,13.16,4792.72,0.48,994795199999.9999,17409.470400000002,0.002312541918175721,798.1158989999999,939.8742149999999,746.510898,272.73968399999995,358325231040.0,130915048319.99998,North America
Germany,2015,5012.73,30075.42,65.53,19.89,31.88,21.84,4389.57,0.49,2456237700000.0,14736.9558,0.0008756845072445553,3284.8419689999996,997.0319969999999,1598.0583239999999,1094.780232,783048578759.9999,536442313680.00006,Europe
Russia,2014,9012.74,32329.38,74.31,36.82,45.51,27.49,4375.58,0.35,3154459000000.0,11315.283,0.0004854883198672102,6697.367094,3318.490868,4101.697974,2477.602226,1435594290899.9998,867160779100.0,Asia
Australia,2021,3291.32,29128.32,45.61,29.26,53.12,34.81,3959.96,0.11,362045200000.0,3204.1152,0.0012031525345454104,1501.1710520000001,963.0402320000001,1748.349184,1145.7084920000002,192318410240.0,126027934120.00003,Australia/Oceania
UK,2024,6554.94,1829.89,20.4,62.22,26.31,29.04,3186.27,0.24,1573185600000.0,439.1736,0.00048608682917006106,1337.2077599999998,4078.4836679999994,1724.6047139999998,1903.554576,413905131359.99994,456853098240.0,Europe
Germany,2004,7110.7,49980.12,28.03,58.98,59.27,24.75,314.47,0.38,2702066000000.0,18992.445600000003,4.422490050206028e-05,1993.12921,4193.8908599999995,4214.51189,1759.8982499999997,1601514518200.0,668761334999.9999,Europe
